location,GADM_boxes,date,time,caption
Hong Kong,"[102]",20140928,161512+0000,"Thousands of people block a main road in Hong Kong, Sunday, Sept. 28, 2014. Hong Kong activists kicked off a long-threatened mass civil disobedience protest Sunday to challenge Beijing over restrictions on voting reforms, escalating the battle for democracy in the former British colony after police arrested dozens of student demonstrators. (AP Photo/Vincent Yu)"
Mexico City,"[145/9]",20141010,160317+0000,"A student holding a flag representing his school, the National Polytechnical Institute, takes part in a protest march in Mexico City, Friday, Oct. 10, 2014. The poly technical institute students are protesting over a new set of internal rules and proposed changes in the school's curriculum that would downgrade their status as graduates. (AP Photo/Eduardo Verdugo)"
Yangon,"[154/14/59,154/14/60,154/14/61,154/14/62]",20141229,162942+0000,"Myanmar police officers man a blockade with barbed wires as they provide security outside the Chinese Embassy in Yangon, Myanmar, Monday, Dec. 29, 2014. Villagers protesting their eviction for expansion of the Chinese-backed copper mine are continuing a stand-off with security forces. (AP Photo/Khin Maung Win)"
New Delhi,"[105/10/121]",20141101,121605+0000,"A young Indian holds a placard during a protest demanding justice for victims of the 1984 massacre of Sikhs following the assassination of Indira Gandhi, the then Prime Minister of India, and other instances of communal violence, in New Delhi, India, Saturday, Nov. 1, 2014. (AP Photo/Altaf Qadri)"
Port-au-Prince,"[99/8/33]",20150225,132403+0000,"Protesters burn a Dominican national flag in front of the country's embassy during an anti-Dominican Republic protest in Port-au-Prince, Haiti, Wednesday, Feb. 25, 2015. Haitians protest to demand the authority of the Dominican Republic to respect the Haitian rights after seen from online media a young Haitian boy hanged from a tree recently in a city park in Santiago.( AP Photo/Dieu Nalio Chery)"
Boston,"[240/22/1228]",20141201,140136+0000,"Boston Arts Academy student, Michael Cordero, 18, walks as police ride by on bicycles during a march in Boston, Monday, Dec. 1, 2014, to show solidarity with protesters in Ferguson, Mo. Students and others are joining a nationwide series of protests over a white police officer's shooting of a black Missouri teenager. (AP Photo/Elise Amendola)"
Lima,"[176/15/135]",20150115,202016+0000,"Police detain a young man who identified himself as a working student as he protests a new labor law that affects young workers in Lima, Peru, Thursday, Jan. 15, 2015. This is the fourth protest by youths in the last month since Peru's Congress approved in December a controversial law that eliminates some labor rights for workers age 18 to 24. The law takes away their right to severance pay, two annual bonuses, and reduces vacation time from 30 to 15 days per year. (AP Photo/Martin Mejia)"
Hong Kong,"[102]",20141002,003337+0000,"Protesters rest outside a shopping mall during a rally in Hong Kong, Thursday, Oct. 2, 2014. Shops in Hong Kong have closed and the local stock market has plunged but protesters are gambling their agitation for greater democracy will pay off by preserving institutions that made this former British colony a profitable asset to China. (AP Photo/Vincent Yu)"
Barcelona,"[213/6/27]",20141220,134354+0000,"Photographers raise their cameras in front of police officers during a protest against Spanish Citizens Security Law in Barcelona, Spain, Saturday, Dec. 20, 2014. Thousands of people have gathered in several Spanish cities to protest against a new law that sets hefty fines for offenses such as burning the national flag and holding demonstrations outside parliament buildings or strategic installations. (AP Photo/Emilio Morenatti)"
Bucharest,"[185/10/0]",20150125,141447+0000,"A boy listens to speeches as people who contracted Swiss francs loans attend, along with their children, a protest outside the parliament building in Bucharest, Romania, Sunday, Jan. 25, 2015. Hundreds of people have protested in Romania against high repayments for Swiss franc loans, blaming the banks for offering deceptively cheap loans and calling on the government to regulate hard currency loans. (AP Photo/Vadim Ghirda)"
Port-au-Prince,"[99/8/33]",20150225,124119+0000,"A protester uses his teeth to rip apart a Dominican national flag, during an anti-Dominican Republic protest in Port-au-Prince, Haiti, Wednesday, Feb. 25, 2015. Protesters outraged over a Feb. 11 lynching of young man of Haitian descent in the Dominican city of Santiago are demanding that the neighboring country respect the human rights of Haitians. (AP Photo/Dieu Nalio Chery)"
Mexico City,"[145/9]",20141205,124553+0000,"Protesting farmers drive a tractor through a central business district of Mexico City, Friday, Dec. 5, 2014. Farmers marched in a demonstration headed by two dozen tractors, to protest the government and demand the return of 43 students who went missing on Sept. 26 in Iguala, Mexico. (AP Photo/Rebecca Blackwell)"
Brasilia,"[32/1/3]",20150315,101855+0000,"A demonstrator shouts slogans during protest against the government of Brazil's President Dilma Rousseff, in Brasilia, Brazil, Sunday, March 15, 2015. Protests have been called for across Brazil to demonstrate against President Dilma Rousseff, whose popularity has never been lower as she faces a sputtering economy and a massive corruption scandal. (AP Photo/Eraldo Peres)"
Atlanta,"[240/11/444]",20141125,201257+0000,"Protesters block Interstate 75/85 northbound near the state capitol building one day after the Ferguson, Missouri, grand jury decision not to indict police officer Darren Wilson in the shooting of Mike Brown, on Tuesday, Nov. 25, 2014, in Atlanta. (AP Photo/David Tulis)"
Hong Kong,"[102]",20141021,222343+0000,"Pro-democracy protesters cheer as they listen to student leader after talks between Hong Kong government officials and students at an occupied area outside the government headquarters in Hong Kong's Admiralty district,Tuesday, Oct. 21, 2014. Hong Kong officials and student leaders held talks Tuesday to try to end pro-democracy protests that have gripped the southern Chinese city for more than three weeks, though chances of success are slim given the vast differences between the two sides. (AP Photo/Vincent Yu)"
New York,"[240/33/1874,240/33/1872,240/33/1854,240/33/1833,240/33/1862]",20141208,200322+0000,"Protestors participate in a \"die-in\" during a demonstration outside the Barclays Center against a grand jury's decision not to indict the police officer involved in the death of Eric Garner, Monday, Dec. 8, 2014, in the Brooklyn borough of New York. Britain's Prince William, the Duke of Cambridge, and Kate, Duchess of Cambridge, not pictured, attended a NBA basketball game between the Cleveland Cavaliers and the Brooklyn Nets at Barclays Center. (AP Photo/John Minchillo)"
Warsaw,"[179/9]",20150211,160909+0000,"Farmers drive their tractors through Koberne on their way to Warsaw, Poland, Wednesday, Feb. 11, 2015. Hundreds of Polish farmers attended the rally, while their leaders were seeking government compensation for crops destroyed by wild boar and profits undercut by Russia's import ban. (AP Photo/Czarek Sokolowski)"
New York,"[240/33/1874,240/33/1872,240/33/1854,240/33/1833,240/33/1862]",20140922,154737+0000,"Police move to secure a barricade being wrestled away by protestors during a march demanding action on climate change and corporate greed, Monday, Sept. 22, 2014, a day after a huge climate march in New York. (AP Photo/John Minchillo)"
Hong Kong,"[102]",20141017,065813+0000,"A pro-democracy protester, center,  is arrested by riot polices after police moved in the occupied area by the protesters in the Mong Kok district of Hong Kong, Friday, Oct. 17, 2014. Riot police cleared an offshoot Hong Kong pro-democracy protest zone in a dawn raid on Friday, taking down barricades, tents and canopies that have blocked key streets for more than two weeks, but leaving the city's main thoroughfare still in the hands of the activists. (AP Photo/Kin Cheung)"
Letpadan,"[154/2/9]",20150302,142032+0000,"Student protesters and their supporters prevent vehicle movements, confronting police officers that stopped them from traveling on the same road to join another group of students in a monastery, in Letpadan, north of Yangon, Myanmar, Monday, March 2. 2015. Truckloads of police prevented hundreds of students from marching onward to Myanmar's old capital Monday to protest a new law that they say will curb academic freedom. (AP Photo/Gemunu Amarasinghe)"
Hong Kong,"[102]",20141011,155747+0000,"In this Oct. 11, 2014 photo, Simon Sin, 22, a salesperson, poses for a portrait in front of a road sign on a main road in the occupied area of the Mong Kok district in Hong Kong. On the evening of Sept. 28, Hong Kong police struggling to hold back thousands of democracy protesters unleashed dozens of rounds of tear gas in a failed attempt to disperse them. When the smoke cleared, Hong Kong had changed. Many young people who previously were indifferent to politics say they experienced an awakening. (AP Photo/Vincent Yu)"
San Francisco,"[240/5/221]",20141001,131644+0000,"In this photo taken with a fisheye lens, protesters stand with umbrellas as they gather at Portsmouth Square before marching to the Hong Kong Economic and Trade Office in San Francisco, Wednesday, Oct. 1, 2014, in support of the Umbrella Revolution, a group seeking democracy in Hong Kong. (AP Photo/Jeff Chiu)"
Raleigh,"[240/34/1985,240/34/1925]",20140519,183855+0000,"Demonstrators follow Rev. William Barber up a stairway in silent protest at the Legislative Building during the first Moral Monday protest of the new year in Raleigh, N.C., Monday, May 19, 2014. Protesters are calling for a host of repeals on Republican-written laws, including teacher pay and unemployment insurance. (AP Photo/Gerry Broome)"
Rome,"[112/8/39]",20141008,190100+0000,"Kurdish supporters waving a flag of Abdullah Ocalan, the PKK leader arrested in Kenya in 1999, and showing placards reading: \"stop the support of Turkey to the Islamic State group\",  stage a demonstration in front of Rome's Colosseum, Wednesday, Oct. 8, 2014. The activists are demanding more help for the besieged Kurdish forces struggling to hold onto the Syrian town of Kobani. Some European countries are arming the Kurds, and the American-led coalition is carrying out air strikes against the Islamic extremists, but protesters say it isn't enough. (AP Photo/Gregorio Borgia)"
London,"[239/1/103,239/1/100,239/1/109,239/1/46,239/1/34,239/1/32,239/1/45,239/1/14,239/1/56,239/1/31,239/1/89,239/1/50,239/1/54]",20141212,150804+0000,"A protester holds a placard during a demonstration against what they call porn censorship, across from the Houses of Parliament in central London, Friday, Dec. 12, 2014. The sex simulation protest was planned by opponents of what they call new 'censorship' legislation banning several sex acts from online porn videos filmed in the UK in a bid to crack down on ''harmful' content. (AP Photo/Lefteris Pitarakis)"
Tbilisi,"[85/12/69]",20141125,130510+0000,"Protesters hold posters as they rally to highlight the problem of violence against women outside the Georgian government headquarters in Tbilisi, Georgia, Tuesday, Nov. 25, 2014. Demonstrators  held a protest rally as a part of a campaign against domestic violence in the country. (AP Photo/Shakh Aivazov)"
Brasilia,"[32/1/3]",20141115,153022+0000,"Demonstrators take part in a protest march demanding the impeachment of re-elected Brazilian President Dilma Rousseff, over an alleged scheme of corruption that siphoned money from the state-owned oil company Petrobras, in Brasilia, Brazil, Saturday, Nov. 15, 2014. Federal police on Friday sharply expanded what is becoming Brazil's biggest political kickback scandal, arresting top construction company executives and detaining another former director of the state-run energy company Petrobras. (AP Photo/Eraldo Peres)"
Port-au-Prince,"[99/8/33]",20150207,132343+0000,"Demonstrators hold up signs with anti-government slogans during a protest in Port-au-Prince, Haiti, Saturday, Feb. 7, 2015. Several thousand protesters marched through Haiti's capital to demand lower gas prices and the ouster of President Michel Martelly. ( AP Photo/Dieu Nalio Chery)"
Hong Kong,"[102]",20140927,231134+0000,"Thousands of pro-democracy demonstrators gather at Hong Kong's government headquarters Sunday, Sept. 28, 2014, braced for a second night of confrontations with authorities after police arrested dozens during a chaotic protest against Beijing's refusal to allow genuine democratic reforms in the semiautonomous city.  (AP Photo/Apple Daily) HONG KONG OUT, TAIWAN OUT"
London,"[239/1/103,239/1/100,239/1/109,239/1/46,239/1/34,239/1/32,239/1/45,239/1/14,239/1/56,239/1/31,239/1/89,239/1/50,239/1/54]",20141223,173333+0000,"Anonymous supporters, some wearing masks, observe a six minute's silence for six people killed when a garbage truck veered out of control in the city center of Glasgow, Scotland on Monday, before taking part in an anti-BBC (British Broadcasting Corporation) protest march from the Bank of England to demonstrate outside BBC offices in central London, Tuesday, Dec. 23, 2014.  The organizers of the protest Tuesday said it was against the BBC and bias in its reporting.  (AP Photo/Matt Dunham)"
Raleigh,"[240/34/1985,240/34/1925]",20150128,110629+0000,"North Carolina religious leaders, members of the N.C. chapter of the NAACP, and Forward Together Moral Movement, gather outside the House and Senate chambers at the North Carolina General Assembly in Raleigh, N.C., Wednesday, Jan. 28, 2015. Leaders called on lawmakers to pursue a moral agenda in the 2015 session. (AP Photo/Gerry Broome)"
Hong Kong,"[102]",20141204,181744+0000,"Two hunger strike students Joshua Wong, left, and Isabella Lo attend a media conference at the occupied area outside government headquarters in Hong Kong Thursday, Dec. 4, 2014. Hong Kong student leaders said Thursday they're considering retreating from protest sites on city streets after more than two months in the latest sign that momentum is fading in their movement for greater democracy. (AP Photo/Kin Cheung)"
Hong Kong,"[102]",20141019,005745+0000,"Riot police stand guard at a pro-democracy protest encampment in the Mong Kok district of Hong Kong early Sunday, Oct. 19, 2014. Hong Kong riot police battled with thousands of pro-democracy protesters for control of the city's streets Saturday, using pepper spray and batons to hold back defiant activists who returned to a protest zone that officers had partially cleared. (AP Photo/Vincent Yu)"
Hong Kong,"[102]",20141025,111110+0000,"A road sign is covered by a slogan by the pro-democracy protesters,  in an occupied area outside the government headquarters in Hong Kong's Admiralty district in Hong Kong Saturday, Oct. 25, 2014. Hong Kong democracy activists will hold a two-day referendum starting Sunday to gauge protesters' response to government proposals to end the monthlong street occupation. (AP Photo/Vincent Yu)"
Manila,"[]",20141006,101801+0000,"An emotional public school teacher cries during a \"lightning\" protest at the gates of the Presidential Palace to mark World Teachers' Day Monday, Oct. 6, 2014 in Manila, Philippines. The teachers expressed their disappointment on the seeming Government inaction for their demand for across-the-board salary increase. (AP Photo/Bullit Marquez)"
Hong Kong,"[102]",20141125,194022+0000,"Police officers use pepper spray as the demonstrators refused to leave after workers started clearing away barricades at an occupied area in Mong Kok district of Hong Kong Tuesday, Nov. 25, 2014. Hong Kong authorities began clearing a 2-month-old pro-democracy protest site in Mong Kok district Tuesday, risking confrontation with demonstrators in the neighborhood, a flashpoint for previous violent clashes with police and angry mobs. A total of 32 people were arrested, police said. (AP Photo/Kin Cheung)"
Hong Kong,"[102]",20141124,163537+0000,"Mannequins are put down on a makeshift barricade set up by pro-democracy protesters is seen in the occupied area of the Mong Kok district in Hong Kong Monday, Nov. 24, 2014. The student-led democracy protesters reject restrictions laid down by Beijing on inaugural 2017 elections for Hong Kong's top leader. But the students have been fighting to maintain momentum as the Hong Kong government appears to adopt a strategy of standing by in hopes it fizzles out. (AP Photo/Vincent Yu)"
Hong Kong,"[102]",20141017,211415+0000,"A police officer holds down a protester on the ground during a clash in the occupied area in the Mong Kok district of Hong Kong, late Friday, Oct. 17, 2014. New scuffles broke out Friday night between Hong Kong riot police and pro-democracy activists in a district where police cleared protesters earlier in the day. The chaotic scenes unfolded hours after police moved in to clear tents, canopies and barricades at Mong Kok, a smaller protest zone across Victoria Harbor from the main occupied area in the heart of the financial district. (AP Photo/Kin Cheung)"
Port-au-Prince,"[99/8/33]",20141128,105125+0000,"Demonstrators take part in a voodoo ceremony before the start of a protest to demand the resignation of President Michel Martelly, in Port-au-Prince, Haiti, Friday, Nov. 28, 2014. (AP Photo/Dieu Nalio Chery)"
Hong Kong,"[102]",20141004,193139+0000,"A student pro-democracy protester monitors the news on her smartphone as she and others sit outside Hong Kong's Chief Executive Leung Chun-ying's office, Sunday, Oct. 5, 2014 in Hong Kong. In an apparent concession to authorities warning pro-democracy protesters to clear Hong Kong's streets by the beginning of the work week, students occupying the area outside city government headquarters agreed Sunday to remove some barricades that have blocked the building's entrance during the weeklong demonstrations. But it was not immediately clear how significant the move was and how much it would defuse the standoff, with many protesters vowing to stay in the area. (AP Photo/Wong Maye-E)"
Athens,"[89/2/6]",20150416,142515+0000,"Miners march to the parliament during a rally in Athens, Thursday, April 16, 2015. About 4,000 workers at a northern Greek gold mine and their supporters staged a protest in Athens as they fear job losses because the governing Syriza party has fought the privately-owned mine on environmental and financial grounds. The issue is the most significant labor challenge the new radical left-led government has faced since its election in January. (AP Photo/Yorgos Karahalis)"
Philadelphia,"[240/39/2299]",20141217,090807+0000,"A group including attorney Leo M. Mulvihill, Jr., foreground, lawyers and others stage a 4:30 minute \"die-in\" protest Wednesday, Dec. 17, 2014, at the criminal justice center in Philadelphia. A number of protests have been staged around the country following recent grand jury decisions not to indict white police officers in New York and Ferguson, Missouri, over the deaths of unarmed black men.  (AP Photo/Matt Rourke)"
Hong Kong,"[102]",20141004,102743+0000,"Protesters walk past a lamp post with pictures of Hong Kong's Chief Executive Leung Chun-ying during a rally outside government headquarters one day after protesters were threatened by residents and pro-Beijing supporters in Kowloon's crowded Mong Kok district Saturday, Oct. 4, 2014, in Hong Kong. Police arrested 19 people, some believed to have organized crime ties, during a night of running brawls stretching into Saturday as mobs tried to drive pro-democracy protesters from the streets where they've held a weeklong, largely peaceful demonstration.  (AP Photo/Vincent Yu)"
Bridgeton,"[240/31/1782]",20150228,133036+0000,"A group of people stand in front of Cumberland County Courthouse as they protest a recent fatal police shooting in southern New Jersey Saturday, Feb. 28, 2015, in Bridgeton, N.J. The large group took part in the protest Saturday, which stemmed from the Dec. 30 shooting of Jerame Reid. The 36-year-old Bridgeton man was shot and killed by police during a traffic stop that was captured by a patrol car camera. (AP Photo/Mel Evans)"
Hong Kong,"[102]",20141210,171352+0000,"Protesters pack their belongings at the occupied area outside government headquarters in Hong Kong Wednesday, Dec. 10, 2014. Hong Kong's dwindling number of pro-democracy protesters vowed Wednesday to stay until the last minute before authorities clear them off a highway where they've been camped out for more than two months. (AP Photo/Kin Cheung)"
Hong Kong,"[102]",20141202,152609+0000,"Three protest leaders, from left, Chan Kin-man, Benny Tai Yiu-ting and Chu Yiu-ming, attend a news conference in Hong Kong Tuesday, Dec. 2, 2014 as they announce that they will surrender to police. Three protest leaders in Hong Kong - two professors and a pastor - are calling for an end to street demonstrations to prevent violence and take the campaign for democratic reforms to a new stage. (AP Photo/Kin Cheung)"
Athens,"[89/2/6]",20140905,190218+0000,"A gay couple kisses during a protest outside Greece's Parliament in Athens on Friday, Sept. 5, 2014. Several hundred people took part in the peaceful march to Parliament, which is debating draft legislation to outlaw Holocaust denial and expand prosecution powers against the incitement of racial violence. Gay and Lesbian rights groups complain that the proposed legislation will not adequately address attacks on homosexual people, which they say are on the rise. (AP Photo/Thanassis Stavrakis)"
Brussels,"[22/2/2]",20141219,111832+0000,"Farmers protest near the European Commission headquarters in Brussels on Friday, Dec. 19, 2014. Hundreds of farmers and trade unionists protest ongoing negotiations to set up a trans-Atlantic free trade zone which they fear will leave them out in the cold at the expense of big multinationals.  (AP Photo/Geert Vanden Wijngaert)"
Washington,"[240/9/317]",20140802,123209+0000,"Demonstrator Aula A. of Boston rallies in Lafayette Park near the White House in Washington, Saturday, Aug. 2, 2014, with others for an end to violence in Gaza. The Obama administration condemned \"outrageous\" violations of an internationally brokered Gaza cease-fire by Palestinian militants and called the apparent abduction of an Israeli soldier a \"barbaric\" action. (AP Photo/Jose Luis Magana)"
Atlanta,"[240/11/444]",20140515,061859+0000,"Ann Mauney holds a sign for passing motorists as she demonstrates with fast food workers and supporters during a protest outside a Krispy Kreme store, Thursday, May 15, 2014, in Atlanta. Calling for higher pay and the right to form a union without retaliation, fast-food chain workers in Atlanta protested Thursday as part of a wave of strikes and protests in 150 cities across the U.S. and 33 additional countries on six continents. (AP Photo/David Goldman)"
Berkeley,"[240/5/184]",20141208,203924+0000,"California Highway Patrol officers try to keep back protesters who blocked Highway 80 in response to police killings in Missouri and New York in Berkeley, Calif., Monday, Dec. 8, 2014. Hundreds of people marched through downtown Berkeley Monday in reaction to the grand jury decisions not to indict white police officers in the deaths of two unarmed black men. (AP Photo/Jeff Chiu)"
Mateare,"[161/12/87]",20141208,000000+0000,"Former sugar cane worker, left, from the Ingenio San Antonio, ISA, sugar company who suffers from kidney problems, carries a mock coffin along with a family member, during a week-long march from the town of Chichigalpa to the capital to demand compensation from the government and the Pellas Group, owner of ISA, for health damages that sugar cane workers say are related to agrochemical exposure, as they pass through the town of Nagarote, Nicaragua, Monday, Dec. 8, 2014. A mysterious epidemic is killing more than 24,000 people in El Salvador and Nicaragua since 2000 and striking thousands of others with chronic kidney disease at rates unseen virtually anywhere else. (AP Photo/Esteban Felix)"
Paris,"[79/11/75]",20150409,131956+0000,"Striking employees of France's state radio corporation Radio France attend a demonstration in Paris, France, Thursday April 9, 2015. Journalists and media workers at Radio France have been on strike since Thursday, March 19 to oppose budget cuts and the potential cut of 300 jobs. The poster reads: \"Radio France Resist\". (AP Photo/Francois Mori)"
Phnom Penh,"[39/16/108]",20141012,111909+0000,"A Cambodian worker shouts slogans during a march in Phnom Penh, Cambodia, Sunday, Oct. 12, 2014. Some hundreds of garment workers on Sunday held a rally to demand higher wage. (AP Photo/Heng Sinith)"
Madrid,"[213/8/33]",20150410,210359+0000,"A police officer stands guard outside the Spanish parliament as images of people are projected onto a transparent screen in front of the Spanish Parliament building in a 'virtual protest' Friday April 10, 2015, as opponents protest against the new security law in Madrid, Spain, Friday, April 10, 2015. Spain's senate has approved a tough new security law that includes stiff fines for people who take part in violent anti-austerity protests while critics slam the package as a blatant attack on free assembly and expression.  (AP Photo/Paul White)"
Arvada,"[240/6/272]",20140923,085758+0000,"Students protest outside of Ralston Valley High School, Tuesday, Sept. 23, 2014, in Arvada, Colo. The students are protesting a proposal by the Jefferson County School Board to emphasize patriotism and downplay civil unrest in the teaching of U.S. history. (AP Photo/Brennan Linsley)"
Hong Kong,"[102]",20141015,032623+0000,"Police officers push the protesters out to a nearby park to clear the main roads outside government headquarters in Hong Kong's Admiralty, Wednesday, Oct. 15, 2014. Hundreds of Hong Kong police officers moved in early Wednesday to clear pro-democracy protesters out of a tunnel outside the city government headquarters in the latest escalation of tensions in a weeks long political crisis. Officers, many of them in riot gear and wielding pepper spray, tore down barricades and concrete slabs around the underpass. (AP Photo/Kin Cheung)"
Pristina,"[120/5/22]",20150124,173146+0000,"Tear gas is thrown at a stone throwing crowd of protesters in Kosovo capital Pristina during a protest on Saturday, Jan. 24, 2015. Kosovo police in riot gear used tear gas to disperse a stone throwing crowd during a demonstration by several thousand people demanding that the government dismiss one of its three Serb ministers, accusing him of insulting the ethnic Albanian majority. (AP Photo/Visar Kryeziu)"
Hong Kong,"[102]",20140928,012402+0000,"Protesters cheer on the announcement of the official occupation of streets surrounding government headquarters in Hong Kong, China, Sunday, Sept. 28, 2014. Riot police in Hong Kong on Saturday arrested scores of students who stormed the government headquarters compound during a night of scuffles to protest China's refusal to allow genuine democratic reforms in the semiautonomous city. (AP Photo/Wally Santana)"
Hong Kong,"[102]",20141211,155011+0000,"A protester carries a banner with words reading: \"I want genuine universal suffrage\" as police officers clear yellow umbrella and barricades at the occupied area outside government headquarters in Hong Kong Thursday, Dec. 11, 2014. Hong Kong police on Thursday took away demonstrators who refused to leave the main pro-democracy protest camp and tore down their tents in a final push to retake streets occupied by activists for two and a half months. (AP Photo/Kin Cheung)"
Paris,"[79/11/75]",20150409,133417+0000,"Demonstrators holding union flags chant slogans during a demonstration march in Paris, France, Thursday April 9, 2015 during a nationwide day of protests and strikes over an array of grievances against the government. The catchall movement, uniting both private and public sector workers, comes amid recent industry-specific complaints such as by doctors and notaries public against reforms by the Socialist-led government. (AP Photo/Francois Mori)"
Hong Kong,"[102]",20140928,163659+0000,"A student protester is overcome by pepper spray from riot police as thousands of protesters surround the government headquarters in Hong Kong Sunday, Sept. 28, 2014. Hong Kong police used tear gas on Sunday and warned of further measures as they tried to clear thousands of pro-democracy protesters gathered outside government headquarters in a challenge to Beijing over its decision to restrict democratic reforms for the city. (AP Photo/Wally Santana)"
Hong Kong,"[102]",20140927,124341+0000,"CORRECTS A PLACARD TRANSLATION - A protester raises placards that read \"Occupy Central,\" right, and \"Civil disobedience\" in front of riot policemen outside the government headquarters in Hong Kong, Saturday, Sept. 27, 2014.  Riot police on Saturday arrested scores of students who stormed the government headquarters compound in Hong Kong's Central district during a night of scuffles to protest China's refusal to allow genuine democratic reforms in the semiautonomous region. (AP Photo/Vincent Yu)"
Indianapolis,"[240/15/745]",20150328,154052+0000,"Some of the hundreds of people who gathered outside the Indiana Statehouse on Saturday, March 28, 2015, for a rally against legislation signed Thursday by Gov. Mike Pence stand on the Statehouse's south steps during the 2-hour-long rally. The law's opponents say it could sanction discrimination against gay people. The law's supporters contend the discrimination claims are overblown and insist it will keep the government from compelling people to provide services they find objectionable on religious grounds. . (AP Photo/Rick Callahan)"
San Diego,"[240/5/220]",20150127,161708+0000,"In this Jan. 27, 2015 image, a woman passes a statue of Franciscan missionary Junipero Serra at the Mission San Diego de Acala in San Diego. Pope Francis' announcement that he will canonize Serra is meeting resistance by some in California and beyond, as critics say he wiped out native populations, enslaved converts and spread disease. (AP Photo/Gregory Bull)"
Washington,"[240/9/317]",20140923,133748+0000,"Anti-war activists, angered by military strikes in Syria, block the northwest gate of the White House on Pennsylvania Avenue in Washington, Tuesday, Sept. 23, 2014. After laying down in front of the entrance and shouting about killing Syrian children, the demonstrators were arrested by U.S. Park Police. Security at the White House perimeter that was already elevated since last Friday when a 42-year-old Army veteran climbed over the fence and dashed across the north lawn and entered the executive mansion before being stopped. (AP Photo/J. Scott Applewhite)"
Port-au-Prince,"[99/8/33]",20150111,135814+0000,"A masked protester blocks a road with burning tires during a protest demanding the resignation of President Michel Martelly in Port-au-Prince, Haiti, Sunday, Jan. 11, 2015. At the same time, Martelly and opposition officials were locked again in negotiations at a hotel, trying to forge a last-minute deal to resolve a standoff stalling elections. Martelly will rule by decree if they don't resolve the political crisis by the end of Monday. (AP Photo/Dieu Nalio Chery)"
Hong Kong,"[102]",20141126,205046+0000,"Protesters cry as the police officers try to stop them blocking the road in Mong Kok district of Hong Kong Wednesday Nov. 26, 2014. Police arrested key student leaders of Hong Kong's pro-democracy protests on Wednesday as they cleared barricades in one volatile district, throwing into doubt the future of a 2-month-old movement seeking free elections in the former British colony. (AP Photo/Kin Cheung)"
Pristina,"[120/5/22]",20150127,163951+0000,"Police in riot gear are pelted with stones in Kosovo capital Pristina during a protest on Tuesday, Jan. 27, 2015. Police in Kosovo fired volleys of tear gas and used water cannons Tuesday to disperse thousands of stone-throwing anti-government protesters demanding the resignation of a minister who had denied that war crimes were committed against ethnic Albanians during the 1998-99 war with Serbia. At least 37 people were injured, including 22 policemen, during a series of clashes in city streets between riot police and protesters, officials said. The protesters pelted officers with stones, Molotov cocktails and other objects, in what is one of the worst bouts of violence to hit Kosovo since this former Serbian province declared its independence in 2008. (AP Photo/Visar Kryeziu)"
Kabul,"[1/13/140]",20150122,102744+0000,"Afghans hold posters that read, \"I love Muhammad,\" during a protest against caricatures published in French magazine Charlie Hebdo outside the French embassy, in Kabul, Afghanistan, Thursday, Jan. 22, 2015. Around 100 people have demonstrated in the Afghan capital against the publishers of the French satirical magazine Charlie Hebdo, accusing them of blasphemy. (AP Photo/Rahmat Gul)"
Lakewood,"[240/6/272]",20141003,162009+0000,"Protestors engage with passing motorists in a demonstration against the Jefferson County School Board conservative majority's plan to form a special committee to reevaluate school curriculum, in the Denver suburb of Lakewood, Colo., Friday, Oct. 3, 2014. Students, parents and teachers in suburban Denver vowed to continue demonstrating against the school board's new majority after it refused to back off plans to review Advanced Placement U.S. history courses looking for what they regard as objectionably un-patriotic content. (AP Photo/Brennan Linsley)"
Hong Kong,"[102]",20141014,103545+0000,"Pro-Democracy protesters look at the police officers to remove the barricades at the main roads of Central district in Hong Kong Tuesday, Oct. 14, 2014. For a second day, Hong Kong police cleared barricades Tuesday from pro-democracy protest zones that have choked off traffic in key business districts for more than two weeks, signaling authorities' growing impatience with the student-led activists. (AP Photo/Kin Cheung)"
New Delhi,"[105/10/121]",20150124,145448+0000,"Effigy with a portrait of U.S. President Barack Obama burns on a road during a protest march by various Left Front political parties against his visit to India, in New Delhi, India, Saturday, Jan. 24, 2015. Obama arrives in New Delhi on Sunday for a three-day visit to talk with Prime Minister Narendra Modi and to be the chief guest in India's Republic Day parade marked annually on Jan. 26. (AP Photo/Altaf Qadri)"
Hong Kong,"[102]",20141007,192454+0000,"The heart of Hong Kong's business district where demonstrators are blocking streets in Hong Kong, Tuesday, Oct. 7, 2014. Crowds of protesters who filled Hong Kong's streets with demands for more democracy thinned dramatically Tuesday after student leaders and the government agreed to hold talks in the increasingly frustrated city. (AP Photo/Vincent Yu)"
Hong Kong,"[102]",20141002,131338+0000,"Student protesters urge people to stop blocking a main road in front of the government complex where Hong Kong's Chief Executive Leung Chun-ying's office is located, Friday, Oct. 3, 2014 in Hong Kong. Hong Kong's embattled leader offered Thursday to hold talks between his government and pro-democracy protesters, but said he will not accept their demand that he resign. (AP Photo/Wong Maye-E)"
Hong Kong,"[102]",20141115,162244+0000,"Hong Kong Federation of Students leader Alex Chow, center, committee members Nathan Law, left, and Eason Chung react as they denied permission to travel to Beijing, at Hong Kong International Airport Saturday, Nov. 15, 2014. Three students who have led protests for greater democracy in Hong Kong were denied permission to travel to Beijing to meet with China's top officials. (AP Photo/Vincent Yu)"
